time_s,axial_node,x_m,truth,without_da,with_da
480,4,0.03375,37.19828352,31.46552037,37.16508556
480,16,0.12375,31.5110713,27.67404803,31.55385101
480,28,0.21375,25.2281145,23.48540989,25.12257447
480,36,0.27375,21.68087632,21.12058429,21.6287513
485,4,0.03375,36.86645706,31.24430272,36.87566777
485,16,0.12375,31.51120535,27.6741374,31.44896917
485,28,0.21375,25.27512634,23.51675112,25.16390205
485,36,0.27375,21.69793155,21.13195443,21.64908975
490,4,0.03375,36.5681553,31.04543489,36.57149899
490,16,0.12375,31.4955833,27.66372269,31.51480215
490,28,0.21375,25.31940455,23.54626992,25.23175388
490,36,0.27375,21.71464795,21.14309871,21.67004453
495,4,0.03375,36.28481359,30.85654041,36.23780978
495,16,0.12375,31.46701002,27.64467383,31.47472476
495,28,0.21375,25.36027201,23.5735149,25.28556875
495,36,0.27375,21.73088771,21.15392521,21.69061199
500,4,0.03375,36.01986177,30.67990586,36.02309866
500,16,0.12375,31.4279229,27.61861575,31.37077387
500,28,0.21375,25.39720866,23.59813933,25.31815694
500,36,0.27375,21.74648182,21.16432128,21.70970155
505,4,0.03375,35.77018719,30.51345614,35.78430557
505,16,0.12375,31.38026616,27.58684459,31.40829814
505,28,0.21375,25.42986536,23.61991046,25.37135769
505,36,0.27375,21.76125025,21.1741669,21.72846301
510,4,0.03375,35.53187526,30.35458152,35.58179017
510,16,0.12375,31.32563719,27.55042527,31.37831312
510,28,0.21375,25.45804536,23.63869713,25.41259331
510,36,0.27375,21.77502216,21.18334818,21.74621762
515,4,0.03375,35.30703313,30.20468676,35.24033007
515,16,0.12375,31.26532838,27.51021939,31.21846916
515,28,0.21375,25.4816774,23.65445183,25.43092224
515,36,0.27375,21.7876504,21.191767,21.76191413
520,4,0.03375,35.09029298,30.06019332,35.11371051
520,16,0.12375,31.20038111,27.46692121,31.22604434
520,28,0.21375,25.50078745,23.66719186,25.46415122
520,36,0.27375,21.79901928,21.19934626,21.77654793
525,4,0.03375,34.88472532,29.92314822,34.89747671
525,16,0.12375,31.13164887,27.42109972,31.32424916
525,28,0.21375,25.51547384,23.67698279,25.52046529
525,36,0.27375,21.80904688,21.20603132,21.79152826
530,4,0.03375,34.68564668,29.79042911,34.70982501
530,16,0.12375,31.0598237,27.37321626,31.11664679
530,28,0.21375,25.52588678,23.68392475,25.52146103
530,36,0.27375,21.81768365,21.21178918,21.8039736
535,4,0.03375,34.49562439,29.66374759,34.54138262
535,16,0.12375,30.98547585,27.32365102,31.01804496
535,28,0.21375,25.53221213,23.68814165,25.52680088
535,36,0.27375,21.82490904,21.2166061,21.81448006
540,4,0.03375,34.31117281,29.54077986,34.29389836
540,16,0.12375,30.90907439,27.27271672,30.94702407
540,28,0.21375,25.53465871,23.6897727,25.53558246
540,36,0.27375,21.83072698,21.22048473,21.82320901
545,4,0.03375,34.13403945,29.42269096,34.09631228
545,16,0.12375,30.83100788,27.22067238,30.81917693
545,28,0.21375,25.53344874,23.68896605,25.52936252
545,36,0.27375,21.83516132,21.22344095,21.82958128
550,4,0.03375,33.96184612,29.3078954,33.93638727
550,16,0.12375,30.7516003,27.16773399,30.75569184
550,28,0.21375,25.52881052,23.68587391,25.52772077
550,36,0.27375,21.83825143,21.22550103,21.8342264
555,4,0.03375,33.79561331,29.19707352,33.9160535
555,16,0.12375,30.67112216,27.11408189,30.57779807
555,28,0.21375,25.52097311,23.68064896,25.49337053
555,36,0.27375,21.84004829,21.22669893,21.83562254
560,4,0.03375,33.63381331,29.08920685,33.67514617
560,16,0.12375,30.5898015,27.05986812,30.5091409
560,28,0.21375,25.51016229,23.67344175,25.47810895
560,36,0.27375,21.84061112,21.22707415,21.83526239
565,4,0.03375,33.47693493,28.98462126,33.45337224
565,16,0.12375,30.50783068,27.0052209,30.56224765
565,28,0.21375,25.49659785,23.66439879,25.490282
565,36,0.27375,21.84000462,21.22666982,21.83494173
570,4,0.03375,33.32404476,28.88269448,33.33103991
570,16,0.12375,30.42537332,26.95024933,30.37151885
570,28,0.21375,25.48049154,23.65366125,25.45823151
570,36,0.27375,21.83829669,21.2255312,21.83260729
575,4,0.03375,33.17528444,28.78352093,33.13747231
575,16,0.12375,30.34256895,26.89504641,30.37651267
575,28,0.21375,25.46204581,23.6413641,25.45735362
575,36,0.27375,21.83555666,21.22370451,21.83046455
580,4,0.03375,33.03011073,28.68673845,32.99212085
580,16,0.12375,30.25953723,26.83969193,30.27038212
580,28,0.21375,25.44145298,23.62763554,25.43785659
580,36,0.27375,21.83185385,21.22123597,21.82743952
585,4,0.03375,32.88845968,28.59230442,32.8909666
585,16,0.12375,30.17638123,26.78425459,30.14380257
585,28,0.21375,25.41889485,23.61259679,25.40713551
585,36,0.27375,21.82725655,21.2181711,21.82312579
590,4,0.03375,32.75003168,28.50001908,32.85492756
590,16,0.12375,30.09319002,26.72879378,30.12488417
590,28,0.21375,25.39454251,23.5963619,25.3885957
590,36,0.27375,21.82183124,21.21455423,21.81822692
595,4,0.03375,32.61465489,28.40976788,32.51396387
595,16,0.12375,30.01004101,26.67336111,30.01934492
595,28,0.21375,25.36855646,23.57903786,25.36877554
595,36,0.27375,21.81564199,21.21042807,21.81278434
600,4,0.03375,32.48217462,28.3214477,32.44633973
600,16,0.12375,29.92700158,26.61800149,29.96963592
600,28,0.21375,25.34108676,23.56072473,25.34969214
600,36,0.27375,21.80875014,21.2058335,21.80702247
605,4,0.03375,32.64693161,28.43128569,32.56217838
605,16,0.12375,29.84442213,26.56294851,29.83868838
605,28,0.21375,25.31227381,23.54151609,25.31292387
605,36,0.27375,21.80121399,21.2008094,21.80008824
610,4,0.03375,33.20385976,28.80257112,33.11465349
610,16,0.12375,29.76441054,26.50960745,29.80771132
610,28,0.21375,25.28225175,23.52150139,25.28027854
610,36,0.27375,21.79308875,21.19539257,21.79230254
615,4,0.03375,33.69506393,29.13004057,33.5058386
615,16,0.12375,29.69289375,26.46192959,29.67617866
615,28,0.21375,25.25116697,23.50077819,25.22826652
615,36,0.27375,21.78442685,21.18961797,21.78256871
620,4,0.03375,34.09068147,29.39378558,33.9292053
620,16,0.12375,29.63829526,26.4255306,29.60565589
620,28,0.21375,25.21922853,23.47948591,25.17415578
620,36,0.27375,21.77527939,21.18351966,21.77093684
625,4,0.03375,34.48633072,29.65755175,34.42427608
625,16,0.12375,29.60599863,26.40399951,29.62623742
625,28,0.21375,25.18679382,23.45786276,25.12737359
625,36,0.27375,21.76570094,21.17713403,21.75794669
630,4,0.03375,34.81963153,29.87975228,34.60576334
630,16,0.12375,29.59552755,26.39701879,29.64142233
630,28,0.21375,25.15443758,23.43629194,25.09080155
630,36,0.27375,21.75575909,21.17050613,21.7444628
635,4,0.03375,35.14417684,30.09611582,35.09476211
635,16,0.12375,29.60358458,26.40239014,29.65522821
635,28,0.21375,25.12292885,23.41528612,25.04290266
635,36,0.27375,21.74554829,21.16369893,21.73012754
640,4,0.03375,35.43614466,30.29076102,35.20919438
640,16,0.12375,29.62702282,26.41801563,29.60282603
